date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:27	35451/35451	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2015:53:28%20GMT	https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/login/sign-in/signOnV2Screen.html	(from )
16:53:28	658/658	---M-Z	200	added ('OK')	text/plain	etag:%22ca0-58140af26d100%22	https://secure.bankofamerica.com/robots.txt		(from )
16:53:29	36783/36783	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Oct%202024%2015:53:30%20GMT	https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go?request_locale=es_US	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/login/sign-in/signOnV2Screene6f6.html	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:29	26331/26331	---M-Z	200	added ('OK')	application/javascript	etag:0x8DCD77714C5D01C	https://cdn.cookielaw.org/consent/72e99fdc-3ef1-452a-9b02-e35228fa4504/otSDKStub.js	C:/My%20Web%20Sites/boa/cdn.cookielaw.org/consent/72e99fdc-3ef1-452a-9b02-e35228fa4504/otSDKStub.js	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:31	9953/9953	---M-Z	200	added ('OK')	text/css	etag:%224a2-61fae367aa53a%22	https://secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr-print.css	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr-print.css	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:33	457511/457511	---M-Z	200	added ('OK')	text/css	etag:%221008b-61fae367aa922%22	https://secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr.css	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr.css	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:33	10067/10067	---M--	200	added ('OK')	application/x-javascript	etag:%222753-5e6580913c7a1%22	https://secure.bankofamerica.com/pa/global-assets/1.0/script/libraries/jquery-migrate-custom.js	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/global-assets/1.0/script/libraries/jquery-migrate-custom.js	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:34	39422/39422	---M-Z	200	added ('OK')	image/png	etag:%2299fe-5812b73724a00%22	https://secure.bankofamerica.com/content/images/ContextualSiteGraphics/Logos/en_US/BofA_rgb.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/content/images/ContextualSiteGraphics/Logos/en_US/BofA_rgb.png	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:35	19167/19167	---M--	200	added ('OK')	image/png	etag:%224adf-5e657a56463dd%22	https://secure.bankofamerica.com/pa/components/modules-app/VIPAA/online-id-vipaa-module/1.0/graphic/mobile_llama.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/components/modules-app/VIPAA/online-id-vipaa-module/1.0/graphic/mobile_llama.png	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:39	1638627/1638627	---M-Z	200	added ('OK')	application/x-javascript	etag:%22586da-61fae367a6e8a%22	https://secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/script/vipaa-v4-jawr.js	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/script/vipaa-v4-jawr.js	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:39	53213/53213	---M--	200	added ('OK')	application/x-javascript	etag:%22cfdd-61fae36801f93%22	https://secure.bankofamerica.com/pa/components/modules-app/VIPAA/online-id-vipaa-module/1.0/script/online-id-vipaa-module-enter-skin.js	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/components/modules-app/VIPAA/online-id-vipaa-module/1.0/script/online-id-vipaa-module-enter-skin.js	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:41	0/0	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Oct%202024%2015:53:43%20GMT	https://secure.bankofamerica.com/login/sign-in/{storeLink}	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/login/sign-in/{storeLink}.a.delayed	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:42	2022/2022	---M--	200	added ('OK')	image/png	etag:%227e6-608912f3af79e%22	https://secure.bankofamerica.com/pa/components/modules/global-footer-module/2.5/graphic/pill.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/components/modules/global-footer-module/2.5/graphic/pill.png	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:43	42648/42648	---M--	200	added ('OK')	application/x-javascript	etag:%22a698-61fae367f1dc3%22	https://secure.bankofamerica.com/pa/components/bundles/text-decompressed/xengine/VIPAA/10.0/script/cm-jawr.js	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/components/bundles/text-decompressed/xengine/VIPAA/10.0/script/cm-jawr.js	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:44	127899/127899	---M-Z	200	added ('OK')	image/png	etag:%221f39b-5620a7eda8b40%22	https://secure.bankofamerica.com/content/images/ContextualSiteGraphics/Instructional/en_US/aps-mobile-products-icon-sprite-dev.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/content/images/ContextualSiteGraphics/Instructional/en_US/aps-mobile-products-icon-sprite-dev.png	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go)
16:53:45	127899/127899	---M-Z	200	added ('OK')	image/png	etag:%221f39b-5620be68213c0%22	https://secure.bankofamerica.com/content/images/ContextualSiteGraphics/Instructional/es_US/aps-mobile-products-icon-sprite-dev.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/content/images/ContextualSiteGraphics/Instructional/es_US/aps-mobile-products-icon-sprite-dev.png	(from https://secure.bankofamerica.com/login/sign-in/signOnV2Screen.go?request_locale=es_US)
16:53:45	97/97	---M-Z	200	added ('OK')	image/png	etag:%2261-5e658070d3a4a%22	https://secure.bankofamerica.com/pa/global-assets/1.0/graphic/1gray-2white-brd.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/global-assets/1.0/graphic/1gray-2white-brd.png	(from https://secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr.css)
16:53:46	2801/2801	---M-Z	200	added ('OK')	image/png	etag:%22af1-5e658070d3a4a%22	https://secure.bankofamerica.com/pa/global-assets/1.0/graphic/1blue-2white-brd.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/global-assets/1.0/graphic/1blue-2white-brd.png	(from https://secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr.css)
16:53:46	54/54	---M--	200	added ('OK')	image/gif	etag:%2236-5e658076c55d3%22	https://secure.bankofamerica.com/pa/global-assets/1.0/graphic/greybullet.gif	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/global-assets/1.0/graphic/greybullet.gif	(from https://secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr.css)
16:53:47	134/134	---M-Z	200	added ('OK')	image/png	etag:%2286-5e658076c51eb%22	https://secure.bankofamerica.com/pa/global-assets/1.0/graphic/gray-bullet.png	C:/My%20Web%20Sites/boa/secure.bankofamerica.com/pa/global-assets/1.0/graphic/gray-bullet.png	(from https://secure.bankofamerica.com/pa/components/bundles/gzip-compressed/xengine/VIPAA/10.0/style/vipaa-v4-jawr.css)
